,Location Type,Name,Latitude,Longitude,UTM Grid,Map,Notes,References,Links
29,Fire (Support)(Support Patrol) Base,Torch,16.5275,106.782,XD906278,6342-2,"Hill 515. Also LZ Smitty/Smith. TF Hotel opened 4 (or 7) Jun68, Op Scotland II.",657,
30,Fire (Support)(Support Patrol) Base,Torch,16.5284,106.782,XD906279,6342-2,Hill 515. 3rd Marines Hq 19Mar69. Op Maine Crag. Note next peak to the east is also Hill 515 (LZ Runway).,"242, 306",
31,Fire (Support)(Support Patrol) Base,Torch,16.5275,106.783,XD907278,6342-2,Hill 515. G/2/9th Marines 26-31Oct68. Op Scotland II (Afton). Also (mis)identified as LZ Robin same document.,659,
32,Fire (Support)(Support Patrol) Base,Torch,16.5284,106.783,XD907279,6342-2,"Hill 515. 1/12th Marines CP, 3rd Marines Hq 10Mar69 (D-Day). Op Maine Crag.","664, 669",
33,Fire (Support)(Support Patrol) Base,Torch,16.5274,106.7867,XD911278,6342-2,Also LZ Smitty.,,
34,,Torello Lounge,10.7155,105.116,WS131842,6030-3,"5th SFG Det B-42 Hq Bldg, Camp Arnn, Chau Phu. For Carl H. Torello KIA 26Dec65.",43,
35,Fire (Support)(Support Patrol) Base,Tornado,10.4104,106.1531,XS268505,6229-4,TF Sixgun Arty 19-21Dec67. Op Tiger Coronado IX. Often Toronado.,5,
36,Fire (Support)(Support Patrol) Base,Tornado,16.4637,107.0408,YD183210,6441-4,ARVN 4/2 29Jan69.,3 MarDiv CC,
37,Fire (Support)(Support Patrol) Base,Tornado,16.4655,107.0409,YD183212,6441-4,3rd MarDiv Apr69. Often Toronado.,306,
38,Landing Zone,Torpedo,16.6315,106.6662,XD781392,6342-3,2/9th Marines 11Jan69.,"306, 310",
39,Landing Zone,Tortilla Flats,15.8396,107.893,ZC103530,6540-1,USMC opened 9Oct68.,,
40,Landing Zone,Touchdown,13.6946,107.9081,ZA150155,6536-2,ARVN 22 Rangers 23Oct65.,,
41,Fire (Support)(Support Patrol) Base,Toughie,14.1757,108.7281,BR553680,6737-3,Also Tuffy. C/6/29th Arty (105mm)(T) 18Aug69. Also Ref 254.,"392, AD508054, AD509537, AD511160",A
42,Outpost,Tou Morong,14.7809,107.9119,ZB139358,6538-1,"Also Toumorong, Tou Mo Rong. RF outpost/CIDG camp. Battle of Tou Morong Jun66. Op Hawthorne.","561, AD394023",A
43,Position,Tou Morong District Hq,14.7821,107.9116,ZB139359,6538-1,"Kontum Province, II Corps. 1965 L7014 chart has no Tou Morong District, it was evidently absorbed into or renamed Dak To aroundthis time. Tou Morong hamlet (199476) does not match narratives. 1954 ND48-08 chart depicts Toumorong [sic ] near the 1965 L7014chart position of Dak Ha (1), Hill 1126, ZB1737. I’ve concluded the subsector Hq was at the old French Fort, Tou Morong outpost.This Hq was overrun 24-25Jun65, declared indefensible, abandoned, and arc-lighted. This precipitated the move of Hq to Dak To ville,much nearer Tan Canh (ARVN 42 Rgt base) and more defensible.","543, 561",
44,,Tou Morong Valley,14.8,107.9,ZB,6538-1,Feeds the Dak To area from the northeast.,AD390643,
45,,Tour d’Argent,13.8685,109.13515,BR98973363,6836-4,Cham Towers. Ancient monumental Hindu shrine near Ba Gi AF.,,A
46,Landing Zone,Tower,16.6068,106.5905,XD701364,6342-3,,306,
47,Landing Zone,Town,14.3904,109.1182,BR976914,6837-4,B/1/9th Cav Oct66. Op Irving.,345,
48,,Town House BEQ,10.77637,106.70514,XS86869145,6330-4,"39 Hai Ba Trung, Saigon. Contains Coghill Mess Hall. Grid from address search.",43,
49,Outpost,Tra An,15.2757,108.5185,BS399868,6739-3,Tra An outpost. Listing is Tri An.,198 LIB DSJ 8Mar71,
50,SF,Tra Bong,15.2511,108.5049,BS325873,6739-4,SF Det A-107 Mar-28Aug65. Moved to 345884.,404,
51,SF,Tra Bong,15.2566,108.5132,BS334879,6739-4,USMC 8Oct65.,MAG-11 CC,
52,SF,Tra Bong,15.2504,108.5188,BS340872,6739-3,SF Det A-107 Dec65. Opened Mar65.,AD391693,
53,Landing Zone,Tra Bong,15.2757,108.5185,BS340900,6739-4,aka OP 5. G-/29th Arty (SLT) Oct70.,AD515147,
54,Position,Tra Bong,15.2549,108.5207,BS342877,6739-4,Latrine and bunkers for MACV. C-/39th EBn (Cbt) Aug70. Also 338880.,AD884865,
55,Fire (Support)(Support Patrol) Base,Tra Bong,15.2585,108.5206,BS342881,6739-4,"A/3/18th Arty (175mm/8"")(SP) 2Feb71. ARVN 61 BdrRgr Bn CP Mar72 (also 347881). Also 339877, 1 MarDiv CC Mar67.","602, 198 LIB DSJ",
0,Fire (Support)(Support Patrol) Base,Tra Bong,15.2603,108.5215,BS343883,6739-4,"aka FSB Cindy. D-/1/14th Arty (105mm)(T), A-/1/82nd Arty (155mm)(T)/(8"")(SP) May69, Aug70.","608, AD515335, AD513756, AD506484",
1,Fire (Support)(Support Patrol) Base,Tra Bong,15.2594,108.5225,BS344882,6739-4,C-/1/14th Arty (105mm)(T) 20Jun68. Op Vance Canyon. Listing is SF Camp.,AD393672,
2,SF,Tra Bong,15.2603,108.5225,BS344883,6739-4,"5th SFD Det A-107 Apr67. Also 345883, ARVN outpost Jun66.",AD390961,
3,SF,Tra Bong,15.2612,108.5224,BS344884,6739-4,"SF Det A-107 Oct66, Jan67.","AD393837, AD391694, AD390959",
4,SF,Tra Bong,15.26125,108.52337,BS34508840,6739-4,New location (see 325873). 28Aug65-Aug70. Converted to ARVN Rangers.,404,
5,SF,Tra Bong,15.26108,108.52385,BS34558838,6739-4,"SF Det A-107, opened Mar65, moved to Plei Do Lim. Also 345882 (AD385641), 34548838.","410, 496, 499, AD391694, AD395430",
6,Observation Post,Tra Bong,15.2695,108.5234,BS345894,6739-4,,,
7,Observation Post,Tra Bong,15.2526,108.5449,BS368875,6739-4,,,
8,Airfield,Tra Bong AF,15.2562,108.517,BS338878,6739-4,VA1-112. aka Pra Bong AF. 1000' x 60' earth @ 100' msl. 09/27.,TAD 15Nov67,A
9,Position,Tra Bong ARVN Rangers,15.2586,108.5253,BS347881,6739-4,ARVN Ranger Compound.,"AD514461, AD884865",
10,Position,Tra Bong District Hq,15.2567,108.5206,BS342879,6739-4,"Attacked 8Sep70 along with Ranger Compound. 1 US KIA, 3 WIA.",AD514461,
11,Position,Tra Bong District Hq,15.2572,108.5257,BS342881,6739-4,Quang Ngai Province. I Corps. 1967 L7014 chart depiction. Also 370879.,678,
12,Heliport/pad,Tra Bong Heliport,15.2561,108.5265,BS348878,6739-4,"VH1-687, 919' msl.",TAD 15Nov67,
13,Position,Tra Cu,10.8419,106.3464,XS476985,6230-1,ARVN 64 Border Ranger Bn CP Mar72.,602,
14,SF,Tra Cu,10.84144,106.34735,XS47709845,6230-1,5th SFG Det A-326 Oct69.,AD507791,
15,SF,Tra Cu,10.84099,106.34781,XS47759840,6230-1,"5th SFG Det A-326, A-352 10Jan67-31Aug70. Converted to ARVN Rangers. Also 478984.","404, AD390959, AD390961",
16,SF,Tra Cu,10.84153,106.34781,XS47759846,6230-1,5th SFG Det A-352 Oct67. Opened Jan67.,"410, 499, AD392458, AD395430",
17,Airfield,Tra Cu AF,10.8315,106.3414,XS470973,6230-1,VA3-155. 1500' X 40' earth @ 32' msl. 05/23. Abandoned.,TAD 15Nov67,
18,Position,Tra Cu AF,10.833,106.3421,XS472975,6230-1,2nd GSR Det (OPCON 2/32nd Arty) 5Nov70. Listing is 478975.,476,
19,Position,Tra Cu ATSB,10.8392,106.3455,XS475982,6230-1,USN River Division 552 Hq 30Sep69. Advanced Tactical Support Base. Also 4898.,601,
20,Fire (Support)(Support Patrol) Base,Tra Cu Base Camp,10.841,106.3455,XS475984,6230-1,A-/5/42nd Arty (155mm)(T) 31Jul69. Listing is 547984.,AD505793,
21,Fire (Support)(Support Patrol) Base,Tra Cu BC,10.841,106.3464,XS476984,6230-1,B-/5/42nd Arty (155mm)(T) 31Jan70.,497,
22,SF,Tra Cu BC,10.8401,106.3474,XS477983,6230-1,5th SFG Det A-352 Jul67. Opened Jan67.,AD390958,
23,Fire (Support)(Support Patrol) Base,Tra Cu BC,10.841,106.3474,XS477984,6230-1,"A/2/12th Arty (155mm)(T) Nov70, A/5/42nd Arty (155mm)(T) Jun-Jul69.","549, AD509170, AD511635, AD509170",
24,Fire (Support)(Support Patrol) Base,Tra Cu BC,10.841,106.3481,XS478984,6230-1,5/2nd Arty (AW)(SP) ’69.,"AD508665, AD389987",
25,Position,Tra Cu District Hq,9.6928,106.2614,XR388714,6228-2,Vinh Binh Province. IV Corps.,,
26,Observation Post,Tra Khuc,15.1268,108.6138,BS441740,6739-3,OP Song Tra Khuc Valley. Also 455710. USMC.,,
27,Artillery Position,Tra Kieu,15.8231,108.2246,BT032510,6640-4,ARVN 34 Arty Bn (155mm)(T) CP 26Apr66.,2/12 Marines CC May66,
28,SF,Tra Long,9.6512,105.6843,WR755666,6128-3,aka Long Phu. A-camp (maybe A-403) closed 1Feb64. Listing is XR.,404,
29,SF,Tra My,15.3371,108.2144,BS014972,6639-4,aka Hau Duc. 1st SFG (TDY) Oct62-2Feb64.,404,
30,Airfield,Tra On AF,9.9599,105.9261,XS019009,6128-1,VA4-250. 1300' X 35' clay @ 8' msl. 12/30. Abandoned by Aug69.,TAD 15Nov67,
31,Position,Tra On District Hq,9.9679,105.9228,XS016017,6128-1,Vinh Binh Province. IV Corps.,,
32,Heliport/pad,Tra On Heliport,10.9648,105.9228,XS016014,6128-1,"VH4-688, 7' msl. Soccer field. Southeast of Can Tho.",TAD 15Nov67,
33,SF,Tra Phu,10.4519,104.5696,VS533551,5929-4,SF Det A-421 (Ha Tien) FOB Apr66.,,
34,Br,Tra Thung (1),14.31675,109.08201,BR93638328,6837-4,Bridge rebuilt (RD project) by 1/50th Inf (M) Apr69.,AD504329,
35,,Tra Tinh Forest,10.35,104.67,VS6444,5929-4,East of Ha Tien.,,
36,Position,Tra Vinh,9.9359,106.3417,XR475983,6228-1,ARVN 14/9 ID Hq 30Sep59. Tra Vinh aka Phu Vinh.,601,
37,Airfield,Tra Vinh AF,9.9216,106.3266,XR459975,6228-1,VA4-52. aka Phu Vinh AF. 3700' X 100' asphalt @ 10' msl. 05/23.,TAD 15Nov67,
38,Fire (Support)(Support Patrol) Base,Tra Vo,11.1734,106.2014,XT316351,6231-3,ARVN FSB in Tra Vo hamlet on QL-22. MACV Team 90 Tay Ninh Province Report Period Ending 30Apr72,,
39,,"Trace, The",16.92,107.02,YD1672,6342-1,"aka The Strip, The Firebreak. 600m-wide plowed swath between Con Thien and Gio Linh. See Barrier Strip.","138, 728",
40,Fire (Support)(Support Patrol) Base,Tracer,14.0902,108.0741,AR846592,6637-3,"4th ID, 173rd Abn. A-/5/16th Arty (155mm)(T)/(8"")(SP) 17May70.","254, 392, 560, AD516045",A
41,,Trach Jungle,16.66,107.34,YD5043,6442-2,17km SE of Quang Tri.,,
42,Fire (Support)(Support Patrol) Base,Tracy,10.9234,106.3093,XT435075,6230-1,1st ACD Op Toan Thang II.,39,
43,Fire (Support)(Support Patrol) Base,Tracy,10.927,106.3121,XT438079,6230-1,C/2/321st (Abn) Arty (105mm)(T) 27Mar69.,AD504592,
44,Fire (Support)(Support Patrol) Base,Tracy,10.9189,106.3139,XT440070,6230-1,C/2/19th (Abn) Arty (105mm)(T) 14Feb69. Hiep Hoa.,81,
45,Fire (Support)(Support Patrol) Base,Tracy,10.9207,106.3139,XT440072,6230-1,C/2/19th (Abn) Arty (105mm)(T) 8Dec68. Op Navajo Warhorse. 1-8th Cav 24Feb69. Also 437073.,"AD502415, AD504499, AD502597",
46,Fire (Support)(Support Patrol) Base,Tracy,10.9189,106.3148,XT441070,6230-1,A/1/30th Arty (155mm)(T) 28Dec68.,1/30 Arty History 67-68,
47,Fire (Support)(Support Patrol) Base,Tracy,10.9171,106.3157,XT442068,6230-1,1/505th Inf (Abn) Feb-Apr69. Hiep Hoa AF.,AD504592,
48,SF,Trai Bi,11.4915,106.0157,XT112702,6231-4,"5th SFG Det A-323 Oct66, Apr67.","AD393837, AD390959, AD390961",
49,Fire (Support)(Support Patrol) Base,Trai Bi,11.4861,106.0166,XT113696,6231-4,"C/2/32nd Arty (175mm/8"")(SP) 27May67.",AD386145,
50,Fire (Support)(Support Patrol) Base,Trai Bi,11.4944,106.0169,XT113705,6231-4,"A/3/13th Arty (155mm)(T)/(8"")(SP) 31Jan67. Op Gadsden. C/2/77th Arty (105mm)(T) 15Mar67. Op Junction City.","577, AD388140",
51,Fire (Support)(Support Patrol) Base,Trai Bi,11.4933,106.0176,XT114704,6231-4,5/2nd Arty (AW)(SP) Jul70.,550,
52,Fire (Support)(Support Patrol) Base,Trai Bi,11.4807,106.0185,XT115690,6231-4,"C/2/32nd Arty (175mm/8"")(SP) 1May67.",AD386145,
53,Fire (Support)(Support Patrol) Base,Trai Bi,11.4936,106.0187,XT115704,6231-4,A/1/8th Arty (105mm)(T) 12Nov66. Op Attleboro. Moved to XT273785 same day.,AD387618,
54,Fire (Support)(Support Patrol) Base,Trai Bi,11.4942,106.0185,XT115705,6231-4,"3/4th ID Hq, 2/22nd Inf (M), CP,A,B/2/77th Arty (105mm)(T) 1-3Feb67. Op Gadsden.","575, 577",
55,SF,Trai Bi,11.4879,106.0194,XT116698,6231-4,5th SFG Det A-323 Jun66-18Dec67. Listing is 116968.,"404, 408",
56,Fire (Support)(Support Patrol) Base,Trai Bi,11.496,106.0194,XT116707,6231-4,C/2/77th Arty (105mm)(T) 1-13Feb67. Op Gadsden.,575,
57,SF,Trai Bi,11.4849,106.02085,XT11766947,6231-4,5th SFG Det A-323 Oct67. Opened Jun66. Moved to Thien Ngon.,"410, 499",
58,Fire (Support)(Support Patrol) Base,Trai Bi,11.4879,106.0203,XT117698,6231-4,"B-/3/13th Arty (155mm)(T)/(8"")(SP) 24Nov66. Op Attleboro.",AD387619,
0,Fire (Support)(Support Patrol) Base,Trai Bi,11.4968,106.0199,XT117708,6231-4,5/2nd Arty (AW)(SP) ’70. NDP NW of Nui Ba Den.,AD511004,
1,Fire (Support)(Support Patrol) Base,Trai Bi,11.4834,106.0212,XT118693,6231-4,C/2/12th Arty (155mm)(T) 28Jun70.,549,
2,SF,Trai Bi,11.4841,106.0211,XT118694,6231-4,5th SFG Det A-323 Oct66. Moved to Thien Ngon. Grid from aerial photos.,,
3,Fire (Support)(Support Patrol) Base,Trai Bi,11.4951,106.0213,XT118706,6231-4,5/2nd Arty (AW)(SP) Oct70.,"90, 551",
4,Fire (Support)(Support Patrol) Base,Trai Bi,11.4825,106.0212,XT118692,6231-4,ARVN Abn Arty battery 5Oct69.,AD507417,
5,Fire (Support)(Support Patrol) Base,Trai Bi,11.4825,106.0221,XT119692,6231-4,A/1/8th Arty (105mm)(T) 12Nov66. Op Attleboro.,"658, AD387619",
6,Fire (Support)(Support Patrol) Base,Trai Bi,11.4752,106.0230,XT120684,6231-4,"Tra Bi AF. B/2/32nd Arty (175mm/8"")(SP) 1Nov69.",474,A
7,Fire (Support)(Support Patrol) Base,Trai Bi,11.4761,106.0230,XT120685,6231-4,Tra Bi AF. B/1/27th Arty (155mm)(SP) 2Dec70.,AD509170,
8,Fire (Support)(Support Patrol) Base,Trai Bi,11.4896,106.0231,XT120700,6231-4,"Forward support base, Mar67. See also Trai Bi Base XT112709.",,
9,Artillery Position,Trai Bi,11.45893,106.02452,XT12176660,6231-4,"B/2/32nd Arty (175mm/8"")(SP) 19Feb67. Admin area at 125668.",AD389987,
10,Artillery Position,Trai Bi,11.4617,106.0248,XT122669,6231-4,2/77th Arty (105mm)(T) CP 1Feb67. General support base for Op Gadsden. Also 127663 (15Feb).,577,
11,Artillery Position,Trai Bi,11.4607,106.0285,XT126668,6231-4,"B,D/3/13th Arty (155mm)(T)/(8"")(SP) 31Jan67, Op Gadsden. C/2/32nd Arty (175mm/8"")(SP) 20Feb67.","577, AD389987",
12,Position,Trai Bi,11.4680,106.0285,XT126676,6231-4,3/21st Inf combat base 6Mar67. Op Junction City.,AD388154,
13,Airfield,Trai Bi AF,11.4781,106.0225,XT119687,6231-4,VA3-222. 2700' X 66' laterite @ 50' msl. 17/35. Abandoned as of ’69.,TAD 15Nov67,
14,,Trai Canyon,16.41,107.42,YD5915,6441-1,17km WSW of Hue.,,
15,Position,Train Compound,10.95360,106.83574,YT01031114,6330-1,"Formerly BIF (Bureau Industrielle Forestier) Compound, Bien Hoa. For William F. Train III KIA 16Jun62. It was here that the firstofficial  US fatalities of the war occurred 8Jul59, Dale R. Buis and Chester M. Ovnand, during VC attack. Building still exists.",43,
16,Fire (Support)(Support Patrol) Base,Trains,14.0,109.1,BR50,6837-3,25th ID ’67. Location from description near Phu Cat and probably towards beach.,,
17,,Tram Forest,10.4,104.7,VS75,5929-1,"West of the Seven Sisters Mountains (or Seven Mountains) to the ocean. Main infiltration route to the Seven Sisters Mountains, ThreeSisters Mountains, and U-Minh forest.",282,
18,Artillery Position,Tram Vang,11.0709,106.2907,XT414238,6231-2,ARVN 2/B/251 Arty Bn (105mm)(T) 21-27Feb66. Op Mastiff. Go Dau Ha AF.,51,
19,Heliport/pad,Tram Vang Heliport,11.0989,106.2911,XT414270,6231-2,"VH3-689, 23' msl. Northeast of Hieu Thien (Go Dau Ha) District Hq. Looks like a typo for 414240.",TAD 15Nov67,
20,Fire (Support)(Support Patrol) Base,Trang Bang,11.0299,106.3574,XT487193,6231-2,ARVN 2/B/251 Arty Bn (105mm)(T) 21-27Feb66. Op Mastiff. Trang Bang.,51,
21,Fire (Support)(Support Patrol) Base,Trang Bang,11.0309,106.3582,XT488194,6231-2,"3/4th Cav, 2/27th inf, Jul-Aug68. Also 484195, 490195.",34,
22,Outpost,Trang Bang,11.0371,106.3629,XT493201,6231-2,Feb68.,,
23,Outpost,Trang Bang,11.0326,106.3647,XT495196,6231-2,RF/PF outpost 31Jan68.,708,
24,Airfield,Trang Bang AF,11.0305,106.3547,XT484194,6231-2,VA3-251. 1000' X 50' soil cement @ 30' msl. 15/33. LZ Frank Mar66.,TAD 15Nov67,
25,Artillery Position,Trang Bang Bridge,11.0300,106.3702,XT498196,6231-2,C/2/27th Inf Opcon 3/4th Cav Jul-Aug68. Feb69 this was FSB Stuart.,,
26,Br,Trang Bang Bridge,11.0306,106.3700,XT501194,6231-2,QL-1 over the Cau Truong Chua. Guarded by FSB Stuart.,AD508665,
27,,Trang Bang Corridor,Infiltration route from the Parrot’s Beak to Saigon roughly parallel to QL-1.,AD500297,,,,,
28,Position,Trang Bang District Hq,11.0317,106.3555,XT485195,6231-2,C Trp-/3/4th Cav 7Aug68. Op Toan Thang II.,34,
29,Position,Trang Bang District Hq,11.0274,106.3567,XT486192,6231-2,Hau Nghia Province. III Corps. 1968 L7014 chart depiction. Also 488194 (ref).,101 DSJ 29Jan68,
30,Heliport/pad,Trang Bang Heliport,11.0272,106.3601,XT490190,6231-2,"VH3-690, 30' msl. Soccer field near Trang Bang District Hq.",TAD 15Nov67,
31,SP,Trang Bang Soccer Field,11.0272,106.3601,XT490190,6231-2,D Trp-/3/4th Cav SP 30Jul68. Op Toan Thang II.,34,
32,Airfield,Trang Bom AF,10.9532,107.0015,YT192112,6430-4,VA3-156. 2600' X 150' sod @ 213' msl. 09/27. Abandoned as of ’69.,TAD 15Nov67,
33,Fire (Support)(Support Patrol) Base,Trang Lon,11.3268,106.0610,XT162520,6231-4,Trang Lon Base Camp attacked 21Mar72. Old Tay Ninh West.,482,
34,Fire (Support)(Support Patrol) Base,Trang Lon,11.3286,106.0619,XT163522,6231-4,"2/32nd Arty (175mm/8"")(SP), Tay Ninh.",,
35,Fire (Support)(Support Patrol) Base,Trang Lon,11.3313,106.0683,XT170525,6231-4,"Trang Lon Base Camp. Old Tay Ninh West. ARVN 250 Arty Bn (105mm)(T) CP, 25 ID Mar72.",602,
36,Fire (Support)(Support Patrol) Base,Trang Lon,11.3267,106.0738,XT176520,6231-4,"Trang Lon Base Camp. Old Tay Ninh West. ARVN 251 Arty Bn (105mm)(T) CP, 25 ID Mar72.",602,
37,Fire (Support)(Support Patrol) Base,Trang Nai,10.5880,107.1395,YS345710,6430-3,Trang Nai Base.,,
38,SF,Trang Phuc,12.8919,107.7862,ZV028265,6534-1,"5th SFG Det A-233 31Oct66. Third digit in grid illegible. Also 021265, other side of the river, unlikely.","AD393837, AD390959",
39,SF,Trang Phuc,12.89372,107.79417,ZV03662671,6534-1,"aka Ban Don SF Camp, Camp Rose. 5th SFG Det A-233 Sep66-30Sep70.","404, 410, 499, AD507791, AD395430",
40,SF,Trang Phuc,12.8945,107.7964,ZV039268,6534-1,5th SFG Det A-233 Jul67. Opened Sep66. Also 037268.,"AD390958, AD390961",
41,SF,Trang Sup,11.3575,106.0638,XT165554,6231-4,CIDG camp 1Sep67.,5 SFG AAR Op Rapid Fire 1,
42,SF,Trang Sup,11.35888,106.06384,XT16505555,6231-4,5th SFG Det A-301 SF Oct69.,AD507791,
43,SF,Trang Sup,11.35915,106.06466,XT16595558,6231-4,SF Det A-301 Jan63.,AD392458,
44,Artillery Position,Trang Sup,11.3567,106.0647,XT166553,6231-4,A/3/82nd Arty (105mm)(T) 7Dec66.,,
45,SF,Trang Sup,11.35752,106.06521,XT16655540,6231-4,"SF Det A-301 opened Jan63 (or Feb). Also 166555 (Jan, Apr67 AD390961), 167555 (A-303-4 Jul67).","410, 499, AD393837, AD390958-9",
46,SF,Trang Sup,11.3566,106.0657,XT167553,6231-4,SF Det A-323 Jan65. Listing is 167563.,AD391693-4,
47,Artillery Position,Trang Sup,11.3575,106.0657,XT167554,6231-4,265th FA Det (GSR)(OPCON 2/32nd Arty) 26Jan71. At this time 91 ARVN Ranger camp.,476,
48,SF,Trang Sup,11.35841,106.06732,XT16885550,6231-4,"SF Det 58, A-411, A-301, A-303, A-304, A-323 Feb63-30Nov70. Converted to ARVN Ranger.",404,
49,Heliport/pad,Trang Sup Heliport,11.3539,106.0657,XT167550,6231-4,"VH3-691, 29' msl. N of Tay Ninh. Listing is 177550.",TAD 15Nov67,
50,Outpost,Trang Sup,11.3566,106.0611,XT162553,6231-4,RF outpost. MACV Team 90 Tay Ninh Province Report Period Ending 30Sep71,,
51,Outpost,Tranh Vin Dong,11.3205,106.5768,XT725516,6331-4,Southwest of Chon Thanh.,,
52,Fire (Support)(Support Patrol) Base,Trap,10.9817,107.5382,YT778148,6530-4,A/2/8th Cav 29Aug71.,394,
53,Fire (Support)(Support Patrol) Base,Trap,10.9844,107.5382,YT778151,6530-4,1/5th Cav 5-13Jan71.,AD518422,
54,Fire (Support)(Support Patrol) Base,Trap,10.9833,107.5412,YT781150,6530-4,"1/5th Cav, 199th LIB. Also Billy.",,
55,,"Trapezoid, The",VC base area [maybe BA 356] south of the Michelin bounded by the Song Saigon and Rach Thi Tinh and northern boundary of the Iron Triangle.,"89, 693, AD508672",,,,,
56,Landing Zone,Trees,13.1149,109.0776,BQ921503,6835-3,A/1/12th Cav 28Jun66. Op Nathan Hale.,1 ACD AAR,
0,Landing Zone,Trees,13.1257,109.0776,BQ921515,6835-3,A/1/12th Cav 27Jun66. Listing is Tree.,1/12 Cav DSJ,
1,Landing Zone,Tremendous,14.4679,108.9729,BS820001,6737-1,C/2/5th Cav 28Mar67. Op Pershing.,672,
2,Landing Zone,Trent,,,,,Name approved for use by XXIV Corps Apr69.,III MAF AO May69,
3,Landing Zone,Trentham,10.7288,107.2866,YS505866,6430-2,"Hill 265. CP,C/4 RAR, MS 12-15Sep68. Op Hawkesbury I. Also 504867.",10,
4,Position,Tri Bac 1,16.39007,107.69364,YD88141367,6541-4,Phu Bai CB. USMC arty survey control station. Listed as Tri Bach.,1 MarDiv CC Dec67,
5,Position,Tri Bac Station,16.3996,107.6977,YD887148,6541-4,"8th RRU. Hue/Phu Bai AF, Phu Bai CB.",84,
6,Position,Tri Buu,16.76,107.2,YD3453,6442-4,ARVN 9 Abn Bn CP Jan68. Ville guarded Quang Tri Citadel and city against ingress from the northeast along Route 555.,685,
7,Artillery Position,Tri Dao,14.5008,107.923,ZB155048,6537-1,B/3/6th Arty (105mm)(SP) 22Jun67. Also C/299th EBn (Cbt) BC. Tri Dao ville.,AD387626,
8,Artillery Position,Tri Dao,14.509,107.9238,ZB156057,6538-2,Also Trai Dao. A/1/92nd Arty (155mm)(T) 24Mar69.,280,
9,Fire (Support)(Support Patrol) Base,Tri Lu,,,,,"ARVN A/2/2 Abn Bde, six 105mm tubes 15Apr71. Battle of Upper Plei Trap Valley.",610,
10,Outpost,Tri Nam,15.2497,108.5393,BS362871,6739-3,Tri Nam outpost.,198 LIB DSJ 2Feb71,
11,Position,Tri Tam District Hq,11.277,106.3569,XT485466,6231-1,Binh Duong Province. III Corps. Tri Tam aka Dau Tieng.,,
12,SF,Tri Ton,10.4198,105.0007,WS005515,6029-4,"aka Little Dien Bien Phu, Phan Chau SF Camp. SF Det A-426 closed 18Nov65.","282, 404, AD391693",
13,SF,Tri Ton,10.4225,105.0007,WS005518,6029-4,5th SF Det A-426 May66.,AD391694,
14,Position,Tri Ton District Hq,10.4189,105.0031,WS008514,6029-4,Chau Doc Province. IV Corps.,,
15,Heliport/pad,Tri Ton Heliport,10.4241,105.0007,WS005520,6029-4,"VH4-692, 10' msl. Soccer field. Near Tri Ton District Hq.",TAD 15Nov67,
16,,Tri-Border Area,10.42,106.51,XS6652,6329-4,"Apparently the border juncture of Binh Phuoc District, Lonh An Province, and Cho Gao, Hoa Dong Districts of Dinh Tuong Province.",650,
17,,"Triangle, The",10.99,108.08,AN8116,6630-4,Base Area 249. Main rice producing area vic Phan Thiet. Phan Thiet to Thien Giao to Muong Man. Grid is center mass.,"603, AD838851",
18,,"Triangle, The",15.8835,108.1862,AT992577,6640-4,"Intersection of Rte 4 and the bermed RR track in Dodge City. Marked on 1965 and 1984 L7014 charts as horizontal control point 8 (dotsurrounded by a triangle, thus the name). USMC, Op Meade River.",1 Marines CC (date),
19,,"Triangle, The",15.22,108.7,BS5384,6739-3,Area NW of Quang Ngai. Beaucoup VC. Grid is approximate center mass. Also 5884.,273,
20,,"Triangle, The",10.53,106.0,XS1063,6230-3,Geographic area defined by two canals and a section line south of the Parrot’s Beak. East of the Pocket.,650,
21,,"Triangle, The",16.47,107.59,YD7722,6541-4,"Descriptor for southern Hue city, south of the Perfume River. A rough triangle bounded on the south by the Phu Cam canal, on the eastby the Phat Lac canal, with the Perfume as the hypotenuse.",693,
22,Fire (Support)(Support Patrol) Base,Tri-Corners,10.9739,107.0104,YT201135,6430-4,"Also FSBs Petrie, Altoona",,
23,Fire (Support)(Support Patrol) Base,Tri-Corners,10.9666,107.0158,YT207127,6430-4,"Opened by 3/7th, 4/12th Inf 24Apr68. Also 216125.","AD390868, 2/40 Arty SITREP 1May68",
24,Fire (Support)(Support Patrol) Base,Tri-Corners,10.9675,107.0158,YT207128,6430-4,B/2/35th Arty (155mm)(SP) Feb-Apr68.,AD391449,
25,Fire (Support)(Support Patrol) Base,Tri-Corners,10.9657,107.0167,YT208126,6430-4,Also Tri Corner. FCP/2/35th Arty (155mm)(SP) 24Apr68.,AD391449,
26,Fire (Support)(Support Patrol) Base,Tri-Corners,10.9675,107.0167,YT208128,6430-4,Later FSB Horseshoe Bend. 2/3rd Inf CP 13-24Jan68. 199th LIB. Listing is 208182.,27,
27,Fire (Support)(Support Patrol) Base,Tri-Corners,10.9702,107.0195,YT211131,6430-4,Also Tri Corner. 3/7th Inf CP 24Apr68.,3/7 Inf DSJ,
28,Fire (Support)(Support Patrol) Base,Trident,15.7212,107.9659,ZC183400,6540-2,See FSB Spear. Also 183401.,,
29,Fire (Support)(Support Patrol) Base,Triem Trung (2),15.889,108.2862,BT099582,6640-1,2nd Plt/1st RadBn CP Aug70.,1 RadBn CC,
